country_name,country_iso3,year,indicator_name,indicator_code,value
Nepal,NPL,1960,Rural population (% of total population),SP.RUR.TOTL.ZS,96.520000
Nepal,NPL,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.846154
Nepal,NPL,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,35530.000000
Nepal,NPL,1961,Arable land (% of land area),AG.LND.ARBL.ZS,12.629371
Nepal,NPL,1961,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.175027
Nepal,NPL,1961,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1961,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1846.600000
Nepal,NPL,1961,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,20.080000
Nepal,NPL,1961,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.082503
Nepal,NPL,1961,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,21.050000
Nepal,NPL,1961,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1961,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,25.510000
Nepal,NPL,1961,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.174825
Nepal,NPL,1961,Rural population (% of total population),SP.RUR.TOTL.ZS,96.429000
Nepal,NPL,1961,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.810997
Nepal,NPL,1961,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.846154
Nepal,NPL,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,35530.000000
Nepal,NPL,1962,Arable land (% of land area),AG.LND.ARBL.ZS,12.629371
Nepal,NPL,1962,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.171655
Nepal,NPL,1962,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1962,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1842.300000
Nepal,NPL,1962,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,20.190000
Nepal,NPL,1962,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.238649
Nepal,NPL,1962,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,21.280000
Nepal,NPL,1962,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1962,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,26.170000
Nepal,NPL,1962,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.174825
Nepal,NPL,1962,Rural population (% of total population),SP.RUR.TOTL.ZS,96.388000
Nepal,NPL,1962,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.903067
Nepal,NPL,1962,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.916084
Nepal,NPL,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,35630.000000
Nepal,NPL,1963,Arable land (% of land area),AG.LND.ARBL.ZS,12.699301
Nepal,NPL,1963,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.169248
Nepal,NPL,1963,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1963,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1843.900000
Nepal,NPL,1963,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,20.510000
Nepal,NPL,1963,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.347467
Nepal,NPL,1963,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,21.680000
Nepal,NPL,1963,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1963,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,26.920000
Nepal,NPL,1963,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.174825
Nepal,NPL,1963,Rural population (% of total population),SP.RUR.TOTL.ZS,96.347000
Nepal,NPL,1963,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.921691
Nepal,NPL,1963,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.846154
Nepal,NPL,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,35530.000000
Nepal,NPL,1964,Arable land (% of land area),AG.LND.ARBL.ZS,12.629371
Nepal,NPL,1964,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.164986
Nepal,NPL,1964,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1964,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1883.200000
Nepal,NPL,1964,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,20.830000
Nepal,NPL,1964,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.565891
Nepal,NPL,1964,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,22.030000
Nepal,NPL,1964,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1964,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,27.340000
Nepal,NPL,1964,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.174825
Nepal,NPL,1964,Rural population (% of total population),SP.RUR.TOTL.ZS,96.305000
Nepal,NPL,1964,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.954728
Nepal,NPL,1964,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.846154
Nepal,NPL,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,35530.000000
Nepal,NPL,1965,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,64.584076
Nepal,NPL,1965,Arable land (% of land area),AG.LND.ARBL.ZS,12.629371
Nepal,NPL,1965,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.161634
Nepal,NPL,1965,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1965,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1867.300000
Nepal,NPL,1965,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,21.630000
Nepal,NPL,1965,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.614064
Nepal,NPL,1965,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,22.650000
Nepal,NPL,1965,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1965,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,27.880000
Nepal,NPL,1965,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.174825
Nepal,NPL,1965,Rural population (% of total population),SP.RUR.TOTL.ZS,96.263000
Nepal,NPL,1965,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.009084
Nepal,NPL,1965,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.846154
Nepal,NPL,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,35530.000000
Nepal,NPL,1966,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,68.693006
Nepal,NPL,1966,Arable land (% of land area),AG.LND.ARBL.ZS,12.629371
Nepal,NPL,1966,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.158300
Nepal,NPL,1966,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1966,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1742.000000
Nepal,NPL,1966,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,20.390000
Nepal,NPL,1966,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.882614
