District,Basin
Achham,Karnali
Arghakhanchi,Gandaki
Baglung,Gandaki
Baitadi,Mahakali
Bajhang,Karnali
Bajura,Karnali
Banke,Karnali
Bara,Koshi
Bardiya,Karnali
Bhaktapur,Koshi
Bhojpur,Koshi
Chitawan,Gandaki
Dadeldhura,Mahakali
Dailekh,Karnali
Dang,Karnali
Darchula,Mahakali
Dhading,Gandaki
Dhankuta,Koshi
Dhanusa,Koshi
Dolakha,Koshi
Dolpa,Karnali
Doti,Karnali
Gorkha,Gandaki
Gulmi,Gandaki
Humla,Karnali
Ilam,Koshi
Jajarkot,Karnali
Jhapa,Koshi
Jumla,Karnali
Kailali,Karnali
Kalikot,Karnali
Kanchanpur,Mahakali
Kapilbastu,Gandaki
Kaski,Gandaki
Kathmandu,Koshi
Kavrepalanchok,Koshi
Khotang,Koshi
Lalitpur,Koshi
Lamjung,Gandaki
Mahottari,Koshi
Makwanpur,Gandaki
Manang,Gandaki
Morang,Koshi
Mugu,Karnali
Mustang,Gandaki
Myagdi,Gandaki
Nawalparasi,Gandaki
Nuwakot,Gandaki
Okhaldhunga,Koshi
Palpa,Gandaki
Panchthar,Koshi
Parbat,Gandaki
Parsa,Koshi
Pyuthan,Karnali
Ramechhap,Koshi
Rasuwa,Gandaki
Rautahat,Koshi
Rolpa,Karnali
Rukum,Karnali
Rupandehi,Gandaki
Salyan,Karnali
Sankhuwasabha,Koshi
Saptari,Koshi
Sarlahi,Koshi
Sindhuli,Koshi
Sindhupalchok,Koshi
Siraha,Koshi
Solukhumbu,Koshi
Sunsari,Koshi
Surkhet,Karnali
Syangja,Gandaki
Tanahu,Gandaki
Taplejung,Koshi
Terhathum,Koshi
Udayapur,Koshi
